Occupation,Bush,Obama,Trump,Occupation Name
0610,0.02101609948905813,0.01847219549740235,0.023742912563413907,0610-NURSE
0602,0.018919591735125717,0.017948281728479076,0.022806461830852075,0602-MEDICAL OFFICER
0801,0.013557380179492075,0.012457337883959044,0.021805054151624547,0801-GENERAL ENGINEERING
1102,0.018260207963479585,0.016176470588235296,0.02098200021301523,1102-CONTRACTING
0905,0.019886363636363636,0.012692945528766424,0.02026412874939849,0905-GENERAL ATTORNEY
0101,0.018031784841075794,0.016361416361416362,0.01973001038421599,0101-SOCIAL SCIENCE
0185,0.016811955168119553,0.013959169429418949,0.01844403021681546,0185-SOCIAL WORK
0601,0.023666951810664385,0.011406166458741757,0.018184179763605663,0601-GENERAL HEALTH SCIENCE
0401,0.015156017830609212,0.017074742268041235,0.015739179314221474,0401-GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES
0510,0.014093959731543624,0.012830957230142567,0.014928025590901013,0510-ACCOUNTING
0660,0.021319504465571883,0.009130525005187799,0.014808787632221317,0660-PHARMACIST
1224,0.01993230537796164,0.01536902550244891,0.01129253776896078,1224-PATENT EXAMINING
